bike_name,price,kms_driven,age,power,brand
Royal Enfield Classic,98000,13459,5.0,350,Royal Enfield
Royal Enfield Classic,85000,14704,6.0,350,Royal Enfield
Royal Enfield Himalayan,110000,24676,5.0,410,Royal Enfield
Royal Enfield Himalayan,173300,14000,2.0,410,Royal Enfield
Bajaj V15 150cc,50000,9200,4.0,150,Bajaj
Royal Enfield Thunderbird,100000,30294,5.0,350,Royal Enfield
Royal Enfield Thunderbird,66000,19756,8.0,350,Royal Enfield
Royal Enfield Bullet,77000,13000,8.0,350,Royal Enfield
Royal Enfield Classic,92500,11000,6.0,350,Royal Enfield
Bajaj Pulsar NS200,57000,28948,5.0,200,Bajaj
Royal Enfield Electra,72500,10000,10.0,350,Royal Enfield
Honda X-Blade 160cc,80000,12000,2.0,160,Honda
Royal Enfield Classic,123600,7702,3.0,350,Royal Enfield
Suzuki Hayabusa 1300cc,950000,312,3.0,1300,Suzuki
Royal Enfield Classic,107000,17000,4.0,350,Royal Enfield
Ducati Monster 821,600000,16000,5.0,821,Ducati
Yamaha FZ S,80000,3500,3.0,150,Yamaha
Suzuki Gixxer SF,75000,11050,4.0,150,Suzuki
Hero Super Splendor,43778,948,2.0,125,Hero
KTM RC 200cc,118000,11200,5.0,200,KTM
Yamaha FZ V,68000,10407,5.0,150,Yamaha
Bajaj Discover 125ST,27000,23000,8.0,125,Bajaj
Hero Splendor Plus,48500,5500,2.0,100,Hero
Hero Karizma 223cc,15000,38000,15.0,223,Hero
KTM Duke 200cc,95000,23000,5.0,200,KTM
KTM Duke 200cc,145000,4500,4.0,200,KTM
Yamaha FZs 150cc,62000,11227,3.0,150,Yamaha
Hero Splendor 100cc,25000,45000,9.0,100,Hero
Ducati 1198 SP,700000,100,6.0,1198,Ducati
Royal Enfield Bullet,160000,3500,3.0,500,Royal Enfield
Bajaj Avenger Street,47500,30000,5.0,220,Bajaj
Yamaha Fazer 150cc,21000,38000,9.0,150,Yamaha
Yamaha Gladiator 125cc,18000,22000,12.0,125,Yamaha
Hero Karizma R,36000,54560,8.0,223,Hero
Yamaha FZ 150cc,52000,33150,6.0,150,Yamaha
Harley-Davidson Iron 883,435000,5550,7.0,883,Harley-Davidson
TVS Apache RTR,68000,12077,5.0,200,TVS
Bajaj Pulsar 220cc,80000,5000,4.0,220,Bajaj
Royal Enfield Classic,110800,13300,6.0,500,Royal Enfield
TVS Apache RTR,85000,16000,2.0,160,TVS
Royal Enfield Electra,145000,4000,2.0,350,Royal Enfield
Bajaj Dominar 400,145000,3000,3.0,400,Bajaj
Royal Enfield Classic,149000,7000,3.0,350,Royal Enfield
Hero HF Deluxe,60000,4000,2.0,100,Hero
Royal Enfield Classic,140000,11000,4.0,350,Royal Enfield
KTM Duke 200cc,85000,15000,7.0,200,KTM
Bajaj Pulsar 220cc,86000,15000,3.0,220,Bajaj
Royal Enfield Bullet,115000,15500,4.0,350,Royal Enfield
Suzuki Gixxer SF,83000,500,3.0,150,Suzuki
KTM Duke 200cc,85000,15000,7.0,200,KTM
Bajaj Pulsar 220cc,86000,15000,3.0,220,Bajaj
Royal Enfield Bullet,115000,15500,4.0,350,Royal Enfield
Suzuki Gixxer SF,83000,500,3.0,150,Suzuki
Bajaj Pulsar 180cc,28000,35251,12.0,180,Bajaj
Hero Splendor Plus,14500,35000,14.0,100,Hero
Hero Splendor iSmart,32000,22000,5.0,110,Hero
Bajaj Pulsar 180cc,62500,26000,5.0,180,Bajaj
Yamaha YZF-R15 V3,122500,10000,3.0,150,Yamaha
Bajaj Platina 100cc,24500,15000,6.0,100,Bajaj
TVS Apache RTR,78500,26000,4.0,200,TVS
Royal Enfield Bullet,102500,21000,4.0,350,Royal Enfield
TVS Star City,28000,28428,9.0,110,TVS
Royal Enfield Classic,130000,10149,3.0,350,Royal Enfield
Royal Enfield Classic,130000,7036,3.0,350,Royal Enfield
Bajaj Dominar 400,115000,7593,4.0,400,Bajaj
KTM RC 200cc,96000,17000,6.0,200,KTM
Bajaj Platina ,29500,15798,4.0,100,Bajaj
Yamaha YZF-R15 2.0,100000,4800,4.0,150,Yamaha
Royal Enfield Himalayan,177982,7000,2.0,410,Royal Enfield
Royal Enfield Himalayan,202000,11000,2.0,410,Royal Enfield
Suzuki Hayabusa 1300cc,950000,312,3.0,1300,Suzuki
KTM RC 200cc,113000,28000,6.0,200,KTM
Bajaj Avenger Street,45400,23000,5.0,220,Bajaj
Royal Enfield Classic,105000,16000,4.0,350,Royal Enfield
Ducati Panigale 959,885000,300,2.0,959,Ducati
Yamaha FZs 150cc,30000,50000,6.0,150,Yamaha
Bajaj Platina 100cc,22000,22000,6.0,100,Bajaj
Royal Enfield Classic,115000,10000,4.0,350,Royal Enfield
Bajaj V15 150cc,55000,3000,4.0,150,Bajaj
Bajaj Discover 125ST,20000,55000,9.0,125,Bajaj
Hero Splendor iSmart,56000,16500,4.0,110,Hero
TVS Sport 100cc,28000,36000,5.0,100,TVS
Hero Super Splendor,44000,7329,3.0,125,Hero
Bajaj Dominar 400,190000,8780,2.0,400,Bajaj
Royal Enfield Bullet,78000,20000,8.0,350,Royal Enfield
Honda CBF Stunner,18787,28164,10.0,125,Honda
Bajaj Pulsar AS200,51500,20600,6.0,200,Bajaj
Bajaj Avenger 220cc,54200,5700,6.0,220,Bajaj
Royal Enfield Classic,175000,11277,3.0,500,Royal Enfield
Bajaj Avenger 220cc,48000,26000,7.0,220,Bajaj
Honda Livo 110cc,40000,4000,5.0,110,Honda
Bajaj Dominar 400,102400,11600,4.0,400,Bajaj
Yamaha FZ V,65000,8800,3.0,150,Yamaha
KTM RC 390cc,170000,2100,4.0,390,KTM
Bajaj Pulsar 150cc,12999,65000,13.0,150,Bajaj
KTM Duke 200cc,87000,20000,6.0,200,KTM
Bajaj Avenger 220cc,45600,18000,5.0,220,Bajaj
Bajaj Pulsar 180cc,42000,58000,7.0,180,Bajaj
Bajaj Pulsar NS200,47000,24445,8.0,200,Bajaj
Bajaj Discover 100M,31000,34525,7.0,100,Bajaj
Suzuki Gixxer SF,72500,19000,4.0,150,Suzuki
Suzuki Gixxer 150cc,80999,4000,3.0,150,Suzuki
Bajaj Pulsar RS200,85000,9148,6.0,200,Bajaj
TVS Apache RTR,60000,16000,5.0,160,TVS
Bajaj Dominar 400,148999,3694,4.0,400,Bajaj
Bajaj V15 150cc,49000,7524,5.0,150,Bajaj
Hero Passion Pro,30000,23000,8.0,100,Hero
KTM RC 200cc,140000,12800,6.0,200,KTM
KTM RC 390cc,237818,1440,2.0,390,KTM
Hero Splendor iSmart,56000,16500,4.0,110,Hero
TVS Sport 100cc,28000,36000,5.0,100,TVS
Yamaha SZ-RR 150cc,23600,22672,6.0,150,Yamaha
Royal Enfield Thunderbird,100000,25000,8.0,500,Royal Enfield
KTM RC 200cc,160700,10000,3.0,200,KTM
Royal Enfield Bullet,78000,34200,6.0,350,Royal Enfield
Bajaj V15 150cc,45000,7000,4.0,150,Bajaj
Royal Enfield‎ Bullet,60000,3490,9.0,350,Royal Enfield
KTM RC 200cc,150000,7500,5.0,200,KTM
Bajaj Discover 150F,37000,13500,5.0,150,Bajaj
Royal Enfield Classic,125000,11000,5.0,350,Royal Enfield
Bajaj Pulsar RS200,70000,56353,5.0,200,Bajaj
Bajaj Pulsar 220cc,40000,25000,7.0,220,Bajaj
Yamaha Saluto 125cc,62000,1123,2.0,125,Yamaha
Royal Enfield Interceptor,280000,1500,2.0,650,Royal Enfield
Bajaj V15 150cc,44000,15000,4.0,150,Bajaj
Royal Enfield Thunderbird,85000,31000,7.0,350,Royal Enfield
Bajaj Avenger Cruise,51000,28000,5.0,220,Bajaj
Bajaj Avenger Street,75000,11460,3.0,220,Bajaj
KTM RC 390cc,160000,23000,5.0,390,KTM
Bajaj Pulsar NS200,106000,1175,2.0,200,Bajaj
Triumph Street Triple,599999,7800,5.0,675,Triumph
Honda CBR 250R,85000,15000,7.0,250,Honda
Hero Splendor Plus,31500,28653,8.0,100,Hero
Hyosung Aquila GV250,150000,8000,6.0,250,Hyosung
Jawa Forty Two,210000,2100,2.0,295,Jawa
Bajaj V12 125cc,50000,3300,4.0,125,Bajaj
Bajaj Discover 100M,29300,19000,6.0,100,Bajaj
Bajaj V12 125cc,35740,20400,4.0,125,Bajaj
Yamaha FZs 150cc,24500,25000,10.0,150,Yamaha
Hero Karizma ZMR,45000,18000,7.0,223,Hero
KTM Duke 390cc,210000,12000,4.0,390,KTM
Bajaj Pulsar RS200,70000,56353,5.0,200,Bajaj
Bajaj Discover 150F,37000,13500,5.0,150,Bajaj
KTM RC 200cc,150000,7500,5.0,200,KTM
Royal Enfield Bullet,71000,11000,9.0,350,Royal Enfield
Royal Enfield Thunderbird,100000,25000,8.0,500,Royal Enfield
KTM RC 200cc,160700,10000,3.0,200,KTM
Royal Enfield Bullet,78000,34200,6.0,350,Royal Enfield
Bajaj V15 150cc,45000,7000,4.0,150,Bajaj
Yamaha Fazer 25,80400,5100,4.0,250,Yamaha
Royal Enfield Classic,135000,2200,4.0,350,Royal Enfield
Harley-Davidson Street 750,350000,3100,6.0,750,Harley-Davidson
Hero Karizma ZMR,57000,1500,11.0,223,Hero
Hero Xpulse 200T,76000,3000,2.0,200,Hero
Bajaj Pulsar 150cc,42100,22560,11.0,150,Bajaj
Yamaha YZF-R15 S,73000,16658,6.0,150,Yamaha
Benelli 302R 300CC,366000,3135,3.0,302,Benelli
Honda CB Hornet,61200,29000,3.0,160,Honda
Royal Enfield Bullet,82000,29860,7.0,350,Royal Enfield
Royal Enfield Classic,120000,12000,5.0,350,Royal Enfield
Bajaj Pulsar 220cc,40000,25000,7.0,220,Bajaj
TVS Apache RTR,80000,7000,3.0,160,TVS
Suzuki Gixxer 150cc,81800,3700,2.0,150,Suzuki
Bajaj Avenger 220cc,45900,27000,6.0,220,Bajaj
Royal Enfield Classic,125000,11000,5.0,350,Royal Enfield
Bajaj Pulsar NS200,86200,9300,4.0,200,Bajaj
Hero Splendor Plus,40000,9000,3.0,100,Hero
Hero Hunk 150cc,10000,21389,12.0,150,Hero
Hyosung Aquila GV250,155000,13500,5.0,250,Hyosung
Bajaj Pulsar NS200,46000,24374,6.0,200,Bajaj
KTM RC 390cc,215000,9600,4.0,390,KTM
Royal Enfield‎ Bullet,60000,3490,9.0,350,Royal Enfield
Honda Dream Yuga,23000,37000,7.0,110,Honda
Bajaj Avenger Cruise,55250,7781,3.0,220,Bajaj
Hero Passion Xpro,58000,7758,2.0,110,Hero
Yamaha FZ S,66000,8000,3.0,150,Yamaha
Hero Karizma ZMR,55000,32000,7.0,223,Hero
Royal Enfield Classic,89730,12100,9.0,500,Royal Enfield
Royal Enfield Classic,108000,26811,6.0,350,Royal Enfield
Yamaha YZF-R3 320cc,314100,13500,3.0,320,Yamaha
Royal Enfield Bullet,125000,16500,39.0,350,Royal Enfield
Hero HF Deluxe,18800,10401,8.0,100,Hero
Harley-Davidson Street 750,417000,13000,5.0,750,Harley-Davidson
Bajaj Dominar 400,105000,20500,4.0,400,Bajaj
Honda CB Twister,20000,19211,6.0,110,Honda
Royal Enfield Classic,88000,22500,10.0,350,Royal Enfield
Bajaj Pulsar 125cc,47000,14009,2.0,125,Bajaj
Bajaj Avenger Street,95000,11000,2.0,220,Bajaj
Yamaha YZF-R15 V3,108000,2982,3.0,150,Yamaha
KTM Duke 390cc,186100,12000,3.0,390,KTM
Honda CB Shine,81500,3000,1.0,125,Honda
Bajaj CT 100,20000,30806,5.0,100,Bajaj
Bajaj Pulsar 150cc,15000,55000,13.0,150,Bajaj
Bajaj V15 150cc,39000,5000,5.0,150,Bajaj
Royal Enfield Classic,102500,29000,5.0,350,Royal Enfield
Royal Enfield Classic,87000,15000,7.0,350,Royal Enfield
Bajaj Dominar 400,118000,14500,3.0,400,Bajaj
Royal Enfield Classic,131100,6200,4.0,350,Royal Enfield
Honda CBR 250R,85000,15000,7.0,250,Honda
Royal Enfield Classic,108000,26811,6.0,350,Royal Enfield
Royal Enfield Classic,131100,6200,4.0,350,Royal Enfield
Honda CB Hornet,42000,19000,5.0,160,Honda
Honda Dream Neo,45000,15000,4.0,110,Honda
Royal Enfield Classic,87000,15000,7.0,350,Royal Enfield
Royal Enfield Classic,102500,29000,5.0,350,Royal Enfield
BMW G 310,255000,2200,3.0,310,BMW
TVS Apache RTR,78700,3710,2.0,160,TVS
Honda CBR 250R,62800,38400,7.0,250,Honda
Bajaj Pulsar AS150,35000,18000,6.0,150,Bajaj
Bajaj V15 150cc,33800,17000,5.0,150,Bajaj
Kawasaki Ninja 250cc,125000,21000,11.0,250,Kawasaki
Royal Enfield Himalayan,146000,4700,5.0,410,Royal Enfield
Benelli TNT 899,569400,3174,6.0,899,Benelli
Indian Chief Classic,1900000,1700,6.0,1800,Indian
Kawasaki Ninja 650cc,600000,230,1.0,650,Kawasaki
KTM RC 200cc,185000,3000,2.0,200,KTM
Hero Passion Pro,32000,32000,5.0,100,Hero
Hero Super Splendor,38000,21000,4.0,125,Hero
Bajaj V15 150cc,35000,38717,5.0,150,Bajaj
Hero Achiever 150cc,42000,1999,3.0,150,Hero
TVS Apache 150cc,9350,39822,13.0,150,TVS
Kawasaki ER-6n 650cc,330000,7500,5.0,650,Kawasaki
Hero HF Deluxe,36500,23000,7.0,100,Hero
Hero Splendor Plus,38000,17376,5.0,100,Hero
Royal Enfield Standard,75000,33000,8.0,350,Royal Enfield
BMW G 310,255000,2200,3.0,310,BMW
Honda CB Hornet,42000,19000,5.0,160,Honda
Benelli TNT 300,230000,9500,4.0,300,Benelli
TVS Apache RTR,31500,20000,8.0,160,TVS
Bajaj Pulsar AS150,35000,18000,6.0,150,Bajaj
Honda CBR 250R,62800,38400,7.0,250,Honda
Royal Enfield Thunderbird,46000,35000,16.0,350,Royal Enfield
Royal Enfield Classic,109900,8600,5.0,350,Royal Enfield
TVS Apache 150cc,9350,39822,13.0,150,TVS
Bajaj V15 150cc,35000,18000,5.0,150,Bajaj
Bajaj Pulsar NS160,65000,18000,3.0,160,Bajaj
Jawa Forty Two,175000,1800,2.0,295,Jawa
Royal Enfield Classic,126000,23000,4.0,350,Royal Enfield
Honda CB Shine,25000,29000,9.0,125,Honda
Honda CB Unicorn,89000,5000,2.0,150,Honda
Royal Enfield Classic,160000,7500,2.0,350,Royal Enfield
Bajaj Pulsar RS200,130000,15000,2.0,200,Bajaj
Honda CB Shine,33500,26000,12.0,125,Honda
Yamaha YZF-R15 V3,128000,8000,3.0,150,Yamaha
Royal Enfield Classic,143000,7000,3.0,350,Royal Enfield
Bajaj Pulsar 135LS,31000,31464,9.0,135,Bajaj
Suzuki Intruder 150cc,72000,7419,3.0,150,Suzuki
TVS Apache RTR,108500,10000,2.0,200,TVS
Bajaj Pulsar 220F,74500,10000,4.0,220,Bajaj
Bajaj CT 100,24000,6300,4.0,100,Bajaj
Bajaj Pulsar 220cc,80000,17000,3.0,220,Bajaj
Bajaj Pulsar 220cc,81000,22000,3.0,220,Bajaj
Royal Enfield Classic,115000,15000,5.0,350,Royal Enfield
Bajaj Pulsar RS200,130000,15000,2.0,200,Bajaj
Honda CB Shine,33500,26000,12.0,125,Honda
Yamaha YZF-R15 V3,128000,8000,3.0,150,Yamaha
Royal Enfield Classic,143000,7000,3.0,350,Royal Enfield
Bajaj Pulsar 135LS,31000,31464,9.0,135,Bajaj
Suzuki Intruder 150cc,72000,7419,3.0,150,Suzuki
TVS Apache RTR,108500,10000,2.0,200,TVS
Bajaj Pulsar 220F,74500,10000,4.0,220,Bajaj
Bajaj CT 100,24000,6300,4.0,100,Bajaj
Bajaj Pulsar 220cc,80000,17000,3.0,220,Bajaj
Bajaj Pulsar 220cc,81000,22000,3.0,220,Bajaj
Royal Enfield Classic,115000,15000,5.0,350,Royal Enfield
Hero Passion Pro,56500,10000,2.0,110,Hero
Bajaj Pulsar 220cc,75000,16000,4.0,220,Bajaj
Yamaha YZF-R15 150cc,72000,32542,6.0,150,Yamaha
Suzuki Gixxer 150cc,73000,7461,4.0,150,Suzuki
Bajaj Pulsar NS200,69500,28000,6.0,200,Bajaj
TVS Apache RTR,78500,9800,3.0,160,TVS
TVS Apache RTR,87000,7000,2.0,160,TVS
TVS Apache RTR,40000,16688,6.0,180,TVS
Mahindra Mojo 300cc,145000,16000,5.0,300,Mahindra
Royal Enfield Interceptor,265000,12900,2.0,650,Royal Enfield
Benelli TNT 300,235000,7000,4.0,300,Benelli
Harley-Davidson Street 750,400000,3000,6.0,750,Harley-Davidson
Honda CB Twister,30000,11000,13.0,110,Honda
KTM RC 200cc,140000,14000,5.0,200,KTM
Yamaha FZ25 250cc,98000,17000,3.0,250,Yamaha
Royal Enfield Thunderbird,74500,5432,6.0,350,Royal Enfield
TVS Apache RTR,75000,3419,3.0,200,TVS
Hero Ignitor Disc,27500,25757,8.0,125,Hero
TVS Apache 150cc,10200,71474,12.0,150,TVS
Bajaj Avenger Street,57000,17000,5.0,150,Bajaj
TVS Apache RTR,21000,34688,13.0,160,TVS
Bajaj Pulsar NS160,68500,8100,3.0,160,Bajaj
KTM Duke 250cc,174500,7900,3.0,250,KTM
Royal Enfield Classic,108000,20000,5.0,350,Royal Enfield
Hero Passion Pro,32000,32000,5.0,100,Hero
Hero Super Splendor,38000,21000,4.0,125,Hero
Bajaj V15 150cc,35000,38717,5.0,150,Bajaj
TVS Apache RTR,75000,3419,3.0,200,TVS
Harley-Davidson Street 750,400000,3000,6.0,750,Harley-Davidson
Suzuki Gixxer SF,50000,12000,4.0,150,Suzuki
Royal Enfield Continental,118000,12000,7.0,535,Royal Enfield
Hero Ignitor Disc,27500,25757,8.0,125,Hero
Hero Glamour Disc,33000,17525,5.0,125,Hero
KTM RC 200cc,150000,9000,4.0,200,KTM
Bajaj Pulsar 220cc,70000,5000,4.0,220,Bajaj
Royal Enfield Bullet,105000,13200,6.0,350,Royal Enfield
Bajaj Dominar 400,135000,5000,4.0,400,Bajaj
Bajaj Dominar 400,140000,7500,4.0,400,Bajaj
Hero Passion Xpro,26000,28000,8.0,110,Hero
KTM RC 390cc,230000,1100,4.0,390,KTM
Honda CB Shine,53000,25000,5.0,125,Honda
Bajaj Avenger Street,76000,7500,4.0,150,Bajaj
Bajaj Dominar 400,135000,7000,4.0,400,Bajaj
Bajaj V12 125cc,45000,10200,4.0,125,Bajaj
Bajaj V15 150cc,60000,3500,4.0,150,Bajaj
Hero Splendor iSmart,40000,15000,4.0,110,Hero
Royal Enfield Classic,133000,8000,4.0,350,Royal Enfield
